text,class
visconti 's masterpiece ! i admit that i am unfamiliar with much of his work but i can not imagine his other work surpassing this fabulous film . last night i watched death in venice after an absence of about 25 years and was totally captivated by all that i,pos
"this movie was so cool ! i saw it on a friday night with a couple of my friends . while the first credits were rolling , we saw that lionsgate films had made this movie . they are the ones that made that stupid movie wolf creek , which",pos
it utterly defeats me why godard is taken so seriously - and one plus one is a great example of his ineptitude as both a filmmaker and an 'intellectual ' polemicist . it 's hard to credit that godard actually believed all that marxist and maoist kant . anyone with,neg
"what can one say about any wilder film other than they are the most human and real stories about people and what drives them , bugs them , haunts them . billy created pictures like paintings that stand forever reflecting the human condition . he paints the good and the",pos
"i just ca n't understand why people are surprised this movie makes no sense . it was never supposed to make sense . ( duh ! the writers were completely wasted on frodis at the time . ) it was just supposed to entertain and mock , and it does",pos
"'sherrybaby ' is quite a painful and sordid melodrama set in jersey , the story of a young mother who is out of jail on probe after a drugs-related conviction and fights to stay clean , to find a place for herself in life and especially to win back the",neg
`` murder by numbers '' stars ryan gosling and michael pitt as two rebellious high schoolers who are content on the perfect murder for the sake of overcoming their shattered self-esteem . sandra bullock plays the heroic thorn in the way of their plans as det . cassie mayweather .,pos
"when i first saw the romeo division last spring my first reaction was brilliant ! however , on future viewings i was provided with much more than masterful film-making . this picture has a singular voice that will echo throughout the annuls of film history . the opening montage provides",pos
an old vaudeville team of willy clark ( walter matthau ) and al lewis ( george burns ) were one of the best known but they broke up hating each other . over 20 years later they agree to get together for a tv special ... but find out they,pos
"there are places for political commentary in film , but `` masters of horror '' is not one of them . i get enough of this stuff from newsweek and every other editorial in the newspaper . now i 've got to watch this in horror movies ? c'mon !",neg
"when i first watch this series , the impression i got was that the characters were charming and funny , lorelai and rory in particular were witty and intelligent conversationalist albeit a bit too talkative . after watching it for some time , however , my opinion changed . the",neg
"being a fan of billy bob thornton , and the diversity of his skills , i noticed this movie listed , and was surprised i had n't heard of it . i 'd traveled more than usual during both the period it was being filmed in 2000 , and when",neg
"i saw this movie yesterday , and like most allrdy wrote `` i also expected a steven movie '' , god i love this guy just because his fighting style is unique and very humerous . in had a little doubts cause i read that `` ja rule '' was",neg
"i do n't understand all these bad reviews . i believe this movie was one of the best in the puppet master series . being made on a low budget , one can comprehend why the special effects and acting were not spectacular , but they were not completely horrible",pos
"wow ... as a big fan of larry mcmurtry western tales and the lonesome dove series in particular , i was s-o-o-o looking forward to comanche moon . what a tremendous letdown . maybe my expectations were set too high because of the all around excellence of lonesome dove ...",neg
"ah the sci-fi channel . how often do you disappoint me ? quite often i think , do you ever show good movies ? ok you have given me the great 'heroes ' and the reasonably good 'the lost room ' but they are series , and as for the",neg
"not everyone likes this movie . it is still one of the best `` you have to be thinking '' movies about satanism ever made . the fact that it does n't have mtv-era jump cuts or gore every seven minutes is irrelevant . also , speaking as someone who",pos
"i went to see this movie at the theater and paid money thinking it would be at least mildly entertaining . the only thing i enjoyed about it was when robin williams crashes into the car at the bottom of the hill , and the end , when he seems",neg
"i grew up watching inspector gadget . it was , and still is , one of my favorite cartoons , if not my absolute favorite . i learned a lot of geography and history from the spin-off inspector gadget 's field trip . i wanted to slip on a banana",neg
over the last 20 years the majority of british films are about how horribly poverty stricken the uk is and how our youth does n't stand a chance of a good life whilst they live on the mean streets of british cities . the british film industry is obsessed with,neg
"this is , without a doubt , the most hilarious movie i 've ever seen . seriously , if the makers of this movie are ever discovered , they 'll put guys like jim carrey out of a job . rent `` jack-o '' tonight ! believe me , you",neg
"of life in ( some ) colleges . of course there were artistic licenses taken , but some of what you saw in this film go on in some colleges . i went to colleges in southern california where the races pretty much hang around with their own . it",pos
"though not a huge fan , i am a three stooges purist . i believe that their best work , by far , was with curly as the third stooge and their earliest films are generally their best . that 's because after a while , they began remaking their",pos
"plot is not worth discussion even if it hints at corruption , murder , power and the rest of thriller related topics . characters are interesting though sometimes . not realistic but interesting nevertheless . development is slow like tea drinking ceremony . visuals not stunning , but good enough",neg
"beautiful and touching movie . rich colors , great settings , good acting and one of the most charming movies i have seen in a while . i never saw such an interesting setting when i was in china . my wife liked it so much she asked me to",pos
"this new movie by jeskid is awesome ! check it out and you 'll be amazed . the story of emily waters , once a girl from a broken home , whose only means of escape from an abusive father was through her sketchbook . until one night her drawings",pos
i must pat myself on the back for watching this movie all the way through because it truly was painful . an incapable painter becomes a fully capable hit-man ? this movie was rife with absurdities of which if i mentioned them all i would be giving away the movie,neg
i do n't understand how some people can stand playing `` half-life : counter-strike '' when there are so many better first-person shooting games available . `` counter-strike '' is a game that does n't use any imaginative ideas in its weaponry . all the weapons in the game are,neg
"this film speaks a universal language ; one can relate it to the self , community , society or the wider world . it has a way of not only opening up several questions but also setting one in pursuit of discovering and asking the right questions in order to",pos
"i went through boot camp at mcrd parris island in 1953 and this film is about as accurate a depiction of what boots went through in that era , even to burying that danged sand flea . many of the `` actors '' in the film were active duty marines",pos
i am not sure why i like dolph lundgren . i guess seeing him on screen makes me feel that anyone who works hard can succeed regardless of talent . that is a good feeling for all of us who lack talent . some of the other reviews point out,neg
"this low budget crocodile movie really delivers the goods . the fact that it was inspired by true events would mean little if you wound up with a fake looking crocodile , bad c.g.i. , or an obvious studio setting . fortunately none of the above are involved with this",pos
"it 's interesting to see what shape pierce brosnan 's career was in before bond arrived on the scene . in this `` tense '' thriller , pierce brosnan plays the gentle patrick , who works leading ghetto kids on `` confidence courses '' . he romances a woman ,",neg
"intergalactic criminal kol ( ross hagen ) has been sentenced to death and awaits execution on a spaceship designed for just such a purpose . but tonight there 's going to be a jailbreak , and kol flees on a conveniently-placed escape pod and flies towards earth ( which apparently",neg
well unlike most people .... i went into this movie expecting it to not be that good and it turned out to be an awesome film . pretty cool plot i love the idea of it but what really made this movie was the actors . they all did an,pos
( warning - contains mild spoiler ) a movie almost designed to make you pause and check your recollection of it - it 's confined to an almost empty motel where the huge courtyard resembles a circus ring and the rooms seem like temporary withdrawal points rather than refuges ;,pos
"barbra streisand 's first television special was simply fantastic ! from her skit as a child to her medley of songs in a high-fashion department store -- everything was top-notch ! it was easy to understand how this special received awards . not muddled down by guest appearances , the",pos
"see no evil is the first film from wwe films . yes wwe , word wrestling entertainment , pro wrestling . of course being that it 's a wwe film a wrestler has to star in it , the wrestler being glenn jacobs aka kane . which is not really",pos
"being a huge fan of the japanese singers gackt and hyde , i was terribly excited when i found out that they had made a film together and made it my mission in life to see it . i was not disappointed . in fact , this film greatly exceeded",pos
`` hit and run '' is a shattering story starring the always wonderful margaret colin as a society lady who `` has it all '' until she hits a child with her car and leaves the scene . hence the title . the tragedy is that she goes to call,pos
"addle-brained stupidity that the cartoon `` bullwinkle '' made fun of a quarter-century beforehand , no dead heroes proves that you can rip off a good movie ( the manchurian candidate ) without copying a single sliver of quality from the object of your plunder . the acting barely registers",neg
"kon ichikawa had lived through world war two , and saw what its effects it had on his people in japan . but so did novelist shohei ooka , whose book was the inspiration for ichikawa 's film , fires on the plain . it 's a film about the",pos
"this is by far the worst british comedy ever , how it made it past the first episode let alone the pilot is beyond me . the acting is weak from the main character played by ben miller to sarah alexander ( from the fantastic coupling ) right through the",neg
andy mcdermott ( tom everett scott ) is a shy american teenager spending vacation in paris with his friends brad and chris . andy saves serafine pigot ( the gorgeous julie delpy ) from committing suicide in eiffel tour and has a crush on her . he does not know,pos
"because it is , that 's why ! this is the same jealous-daughter-kills-people flick we 've seen a billion times . rosanna arquette makes anything worth watching , and mandy schaffer 's brief nude scene ( after teasing via scantily clad attire throughout the film ) at the end almost",neg
"this film plays in the 60s and is about an italian family : romano , his wife rosa and their two children gigi and giancarlo emigrate from solino in italy to duisburg in the ruhr area . i like this film , because i think it is quite realistic :",pos
"released on dvd in the uk as axe , the choke is a teen slasher that fails in pretty much every department : the story is almost non-existent , resulting in a film which comprises mostly of people wandering around a dark building ; with the exception of two characters",neg
"`` good times , '' in my opinion , is a must-see cbs hit ! despite the fact that i 've never seen every episode , i still enjoy it . it 's hard to say which one is my favorite . also , i really love the theme song",pos
"lucio fulci , a director not exactly renowned for his subtlety , ill-advisedly tries his hand at black humour in touch of death , a made for tv movie about lester parsons ( brett halsey ) , a psycho who seduces and murders rich widows in order to pay his",neg
"this is one of the worst movies i have seen to date , the best part was christian j. meoli `` leonard '' attempting to act jumping up and down outside the bar , kind-of like i wanted to do on the dvd , to spare the rest of humanity",neg
"this movie was beyond awful , it was a pimple on the a * s of the movie industry . i know that every movie ca n't be a hit or for that matter even average , but the responsible parties that got together for this epic dud , should",neg
"first of all , i am from munich , where this movie takes place , and believe it or not , there are guys like erkan and stefan , including the silly dialect ! i know their comedy show from the beginning and my main fear was , that the",pos
"orson welles ' `` the lady from shanghai '' does not have the brilliant screenplay of `` citizen kane , '' e.g. , but charles lawton , jr. 's cinematography , the unforgettable set pieces ( such as the scene in the aquarium , the seagoing scene featuring a stunning",pos
"so wonderful , so quirky , so romantic , so italian . the film is so feather -light you float off into its refracted reality and you never want to return to the humdrum again . a kitchen sink world of bakeries , and hairdressers , and plumbing , but",pos
"the cast of `` all that '' returns for good humor in the `` good burger '' a place similar to an old fashioned fast food restaurant . the comedy is terrific , the fun is non-stop , and though cliché , is a passer for kid and family comedy",neg
"who made this film ? i love this film ? somebody has a wacky sense of humor ... this zany , surreal style of film making is appealing , but it is hard to create - or easy to forget - that substance , and characters who actually have souls",pos
wow probable the worst movie i have ever seen ! ! this person should never make another movie ! ! i cant believe anyone would have produce this in good conscience.you have have wasted every cent . no concept of real life . i have wasted 2 hours of my,neg
"if this film is an accurate display of j. smits acting skills , i think he made a big mistake leaving television . has n't he watched any films `` starring '' david caruso , especially `` cold around the heart '' ? along the lines of acting ability ,",neg
"i love jamie foxx . and i enjoy 99 % of all movies i see . and i walked out of this one . now , i admit , it may have had something to do with the two middle-aged white women in the back of theatre who laughed at",neg
this is the worst movie i have ever seen . the avengers held this dubious honor but no longer . the acting in `` jill the ripper '' is terrible and was only eclipsed by the plot . this movie is as intellectually stimulating as the telletubbes . it does,neg
"why is impossible to write in french ? very kitch ! this journey in the center of the earth is despicable technical possibilities nevertheless current in 1976. these big `` casimir '' of monsters is completely ridiculous ! the film deserve however a `` remake '' , as was ``",neg
"this show was incredible ! ! ! i 've seen all three and this is the best . this movie has suspense , a bit of romance , stunts that will blow your mind ( go bobbie ) , great characters and amazing locations . where was this filmed ?",pos
"jason connery is not an actor ; he is the son of an actor . his macbeth is the worst i have ever seen . oh yes , he murders king duncan , but he also kills william shakespeare . his wife is even worse . please , give me",neg
"i did n't know much about this movie going in- my roommate kind of dragged me into it . i was so pleasantly surprised ! the plot really grabbed my attention and held it , and the characters are well-drawn and realistic . the screenplay is very clever and funny",pos
"well , i rented this movie and found out it realllllllly sucks . it is about that family with the stepmother and the same stupid fights in the family , then the cool son comes with his stupid camera and he likes to take a photo to damaged building and",neg
"hubie -- like stanely the troll from bluth 's a troll in central park -- lacks the spark of personality to be the main character that carries an entire movie . we 're supposed to like him because he 's nice , but that 's about all he is .",neg
"a romanticised and thoroughly false vision of unemployment from a middle class `` artist '' with a comfortable upbringing ... it is clear that the writer-director never suffered unemployment directly and certainly has no personal experience of it . if you had to believe this absolutely ridiculous story , unemployed",neg
"first of all , this plot is way overdone - girl wants to make it , everyone loves her , snobby girl intervenes , all looks lost , girl pulls through , everyone loves her again etc . throw in the fitting in thing , an attractive male crushing on",neg
"this is n't the video nasty night of the demon as there are more than one . actually , there is only one , but it multiplies . after it inhabits suzanne ( scream queen linnea quigley ) , she passes it on to goth girl angela ( amelia kinkade",pos
"as a true lover of film i must advise you to avoid this appalling effort , , god knows how funding was approved , seriously this is one cinematic experience which delivers zero dramatic tension and plods along until nothing happens again and again and again , , the only",neg
"`` subconscious cruelty '' has to be one of the most beautiful films i have ever seen.still it 's extremely grim and gory at times , so fans of politically correct mainstream horror garbage should n't bother.the film mixes many wonderful visuals with plenty of sleaze and gore.it is extremely",pos
"the opening scene of this film sets the pace for the entirety of its ninety minutes . the shots are generic , conventional , and of television movie quality . the snow drenched scenery is gorgeous , yet the characters held with in it have a similar quality to that",neg
"i 'm still trying to decide if this is indeed , the worst film i have ever seen - a very disturbing problem with this film is that real scientists are interviewed , but their footage is edited to make it look as though they support the ideas of the",neg
"the kids i took to this movie loved it ( four children , ages 9 to 12 years ; they would have given it 10 stars ) . emma roberts was adorable in the title role . ( expect to see more of this next-generation roberts in the future .",pos
"as a former highland rugby ( hr ) player , i feel like i can possibly answer some of the questions and confusion that has been put forward . i think that i am also in a position to offer some insight into the club and back stories . oh",pos
"since i had loved the inspector gadget cartoon in the 80 's , i went to see this movie . i wasted my money . the plot was very thin . also , the movie could not keep me interested for long . i was glad it was over .",neg
"i read the book written by bill carter on which this movie is based many years ago . the book is certainly stronger than the movie . it provides more detail than a movie can possibly provide , the end result being that i thought the movie seemed a wee",pos
"i guess if you like watching dudes get `` pumped up '' to outrageous sizes , this is right up your alley.otherwise , it 's an exercise in ego . i do n't need to do either.anyhoo , it 's of historic interest , i guess , to see how",neg
"the only notable thing about this film is that it was steve mcqueen 's first big starring role . mcqueen 's talent is undeveloped and raw but refreshingly honest in this campy little sci-fi horror piece . steve shows himself as the anti-establishment , hot rod car loving actor who",pos
"this movie is horrible if you pay attention to it . it 's a perfect movie if you just watch the colorful images dance across the screen - each one with no apparent connection to the next . i rented this movie because i 'm a david bowie fan ,",neg
"good film . tells a boyish fantasy story , telling us how trapped we are in social situations and what kind of extreme measures one has to take to behave differently . or at least the feeling : that you have to break every rule if you are to break",pos
"you 've got ta hand it to steven seagal : whatever his other faults may be , he does have good taste in women . if you pick a seagal movie , chances are there will be one or more very beautiful women in it . and usually , they",neg
"i feel at a loss , so brilliant is this film . kieslowski is a writer , a philosopher ; and while an excellent filmmaker , his greatness lies in his writing ; and `` red '' is his paradigm . this film is a metafictional study of the artist",pos
"in my personal opinion - « the patriot » is one of the best steven seagal movies . i 've heard people say it 's the worst one ever , it 's not like ss etc . i disagree . as a highly spiritual person , a great master seagal",pos
as others have pointed out this movie is a load of pretentious drivel for the mindless or masochists . we all know after seeing trainspotting and acid house that scotland is one of the most depressing places in the first world . but unlike trainspotting and acid house without a,neg
"i was prepared to laugh throughout this movie like a mystery science theater experiment , but it was just boring . it appears that the producers had many biker enthusiast friends , and from there casually decided to make a movie . it is frequently unwatchable . lots of footage",neg
"i thought this movie was perfect for little girls . it was about a magical place where genevieve and all her sisters could do what they wanted to do the most anytime they 'd like . most little girls would like this story , even though there is the thought",pos
"i just saw this film again , i believe for the sixth time . i will doubtless see it many more times . this is one of the most brilliant french films ever made . although the film is mysterious , even more mysterious is what happened to the writer",pos
"this movie is not for those expecting a martial-arts extravaganza . as for historical accuracy , i will leave that issue to those better informed on that subject . i thought the performances were wonderful . gong li never disappoints as the resourceful and ( initially ) loyal consort of",pos
"i chose to watch this film because i am a stephen nichols fan . unfortunately , i am unhappy with mr. nichols ' choice to do this movie . the film was slow , badly acted , and included some very graphic sex scenes of mr. nichols ' character with",neg
"as a fan of notorious b.i.g. , i was looking forward to this movie . i am unfortunate to see it is a terrible movie . jamal woodward is not convincing or realistic enough to portray notorious b.i.g . a lot of the story follows notorious b.i.g . 's real",neg
why do i watch movies like this ? - other than i have some weird misguided masochistic belief that one day i will find a true gem amongst all this dross i ca n't think one one good reason . this movie was dross from start to finish - but,neg
"it seems to be a common thing in the 90 's to play with cliches . some manage to do so with great talent . hervé hadmar does n't . on the paper , the movie looked interesting though : the weak plot could have been saved by great moments",neg
"anyone who had never seen anything like the fight scenes in the matrix has never seen this movie . the fight scenes were choreographed by action scene psychopath yuen woo ping , who also did the fights in the matrix . and the fight scenes are somethin . li plays",pos
"well , i like to be honest with all the audiences that i bought it because of kira 's sex scenes , but unfortunately i did not see much of them . all sex scenes were short and done in haphazard manner along with all the weird and corny background",neg
"i ca n't get over the quality of the score , the book , and the performances . this is the first production i 've ever seen of sweeney todd so i have no others to compare it to . but the impact is so strong , i just ca",pos
john carpenter 's `` the thing '' is undoubtedly one of the best horror movies ever made . sadly as with most carpenter movies go it is also one of the most underrated movies being panned by critics shortly after it 's release for a reason that is almost pathetic,pos
"an insult to both poker and cinema , this movie manages to make the most dynamic , brilliant , and fascinating figure in poker history into an utter bore . still a fun film to make jokes about , from the lame gangster movie clichés of the first half to",neg
it was 1 a.m. in the morning and i had nothing else to do . do n't judge me ... please . we 're back in time during the spanish settlements . a group have made their way onto an island . it does n't take too long before they,neg
"david lynch shot his first film , 'erasurehead ' , over several years , adding new scenes each time he managed to raise a little bit more cash . kevin smith made 'clerks ' at work , while working as a clerk , and robert rodriguez has boasted that 'from",pos
this movie is stupid and i hate it ! ! ! i turned it off before it reached half i hate this movie . amitabh sucks in this movie i wan na throw eggs at the person who directed this movie . this movie is stupid and i hate it,neg
"in a college dorm a guy is killed by somebody with a scythe . his girlfriend beth ( dorie barton ) discovers him and tries to commit suicide . she 's institutionalized . a year later she 's out , has a new boyfriend named hank ( joseph lawrence )",neg
"i liked half-life . i am still it 's fan . it was frightening , intelligent and challenging . i do n't tell any news it is one the best fps ever made . maybe i 'm too hardcore half-life fan but the so called half-life 2 is not half-life",neg
the best movie about friendship ! especially between an aids infected person and a `` normal `` person . this is a great movie for everyone to see even though there is strong language used . i have seen it 25 times .,pos
"the timing of this film being released could not be better , particularly in light of all the turmoil in this world today . the film is a heartwarming , endearing and witty a piece . if you have siblings and still have parents alive , this will hit home",pos
"was flipping around the tv and hbo was showing a double whammy of unbelievably horrendous medical conditions , so i turned to my twin sister and said , `` hey this looks like fun , '' - truly i love documentaries - so we started watching it . at first",pos
"wow , i ca n't believe i 'm the first and only one to post a comment on this great movie . although the movie itself seemed interesting enough the real thing that attracted me to this one is matt lillard , granted most people probably either think he 's",pos
"good films can not solely be based on a beautiful garden and a hill top . surprised to see it has won two awards . extremely overrated . i first saw that kind of films from china , visually stunning but also with really something captivating to say , well",neg
what is wrong with american movies these days ? hollyweird keeps making movies that have men acting like women and women acting like men . the idiotic male director and writer of this movie need to have their heads examined . the main problems with this film are its overt,neg
first of i should point out that i used to love winnie the pooh as a child and i really enjoyed the tigger movie even though i am in my 20 's . but this movie was so bad i was ashamed to have been a fan in my youth,neg
"a quite good film version of the novel , though at the beginning a little bit lengthy . fortunately there are a few funny scenes from time to time . this movie is surely not for the main stream audience - but for fans of italian ( or portuguese )",pos
"roomies is the story of a guy who loses everything except his incredible girlfriend and an idea for a corn dog that he plans to patent and sell . immediately his uncle dies and leaves him a house and a car , and he gets some roommates in to help",neg
"man , the '90 's really were an horrible decade for movies . the movies are lacking in a good style and also the storytelling is often lacking . this 6th entry into the long running halloween-series is certainly a bad one . you just never really get into the",neg
"spanish films are into a , if not golden , definitely a silver age . piédras is another example of a movie that takes people and their conflicts seriously . although the feelings are strong or nearly at life or death-level , they still are n't really melodramatic . this",pos
"being a genre film fan , a child of the 80 's and a fan of hard rock music ... this movie holds a special place in my heart . it has everything you could want in a supernatural movie : action , great special effects ( for 1986 )",pos
"i 've seen this movie and i must say i 'm very impressed . there are not much movies i like , but i do like this one . you should see this movie by yourself and comment it , because this is one of my most favorite movie .",pos
a lot of people unfairly sh ! t on this series but several of the guinea pig videos are fairly entertaining . devil 's experiment in particular has some really fantastic effects work -- not just the infamous eyeball scene but also a very realistic skin slice on the foot,pos
"elephant walk may not be the acme of literature or of film , but it is great entertainment in the quasi-melodramatic mode . it is the story of love , both genuine and illicit , as well as overweening ambition , devotion , and the arrogance of personal tyranny .",pos
"there is only one use for a film such as bulletproof : it reminds you just how bad bad can be . we often see films which we describe as `` pretty awful '' or `` not much good '' , but then you come across a film like this",neg
"i thought the movie started out a bit slow and disjointed for the first hour . however , it became more absorbing , fascinating , and surprising in its last two hours . so , while it starts out like a cheap horror film , it evolves into a beautiful",pos
"this movie was amusing at times , hell sometimes it was even downright funny . the underlying message i got from the film though , was that women are responsible for all of the troubles of man . every time a woman is depicted in the film , she is",neg
"a single mom , her son and daughter and their hippie chick friend are camping in the woods.a muscle bound , machete wielding maniac in a yellow ski mask appears.he starts terrorizing and sexually violating the family before murdering them with a machete . `` wet wilderness '' is loaded",neg
as much as i respect firefighters for what they do . i was unimpressed and bored with this film . the acting was ok but joaquin phoenix was a poor casting choice to say the least . what bothered me the most about this film was the celtic music whining,neg
"story says that on that on december 28 , 1895 , a small group of thirty-three people was gathered at paris 's salon indien du grand café to witness the cinématographe , a supposedly new invention that resulted from the work done by a couple of photographers named august and",pos
i recently got the movie and all i can say it is a good movie . there 's a lot of famous rome monuments and historical locations.it is from the same writer and director from the da vinci code . tom hanks stars along with ewan mcgregor and ayelet zurer,pos
"highlighting the acting of sidney poitier and the brooding on-screen presence of john cassevetes , the edge of the city is a highly-watchable film from the fifties , directed by martin ritt . there is great acting and stunning on-location photography in black and white . poitier is a delight",pos
"sad in every aspect , this poor excuse for a career boost for connery was neither that nor the hit warners wanted it to be . overlong by 20 minutes and filled with embarrassing moments for everyone involved , this film and `` robocop 2 '' are proof that irvin",neg
"1. aliens resemble plush toys and hand puppets , while having arms that do n't function . 2. aliens mastered intergalactic space travel , but they do n't know how to push an unlocked vault door open , yet can push open a door being held shut by five people",neg
"the western society has been fed ideas about india being a poor country . movies like these only make those beliefs stronger . such illustrations make it all the more difficult for indians to be accepted abroad . agreed there are poor and homeless in india , but why is",neg
"a reporter , craig milford , who works for the james keller public telecommunication center , has an interview with a german professor of a floridian university , who made an unknown creature based upon some substance of meteor ( s ) . but then a man named anderson ,",neg
"i have to point out , before you read this review , that in no way , is this a statement against iranian people ... if you really want to read something into it , than hopefully you see , that i 'm against politicians in general ... but if",pos
"i got about halfway through this movie and was very disappointed . it was just flat out boring and completely unrealistic . i can get past being unrealistic in a lot of movies , but not when it 's supposed to be a crime drama thing . the evidence collection",neg
"ok , imagine that every state in the us , nay , every country has exactly the same trees growing and ground foliage . imagine , also , that a monkey-trapper 's camp so far off the beaten track you had to do the first half of the approach by",neg
"> this show is the single greatest thing to come out of america since the > simpsons . not only does it have thousands of new ideas , but it 's actually > controversial ( see the jewish joke , season 1 , episode 1 ) and is n't scared",pos
"this is widely viewed in australia as one of the best cop dramas ever produced here ... and for my money , anywhere . it 's raw , gritty , the characters are real , the situations are believable and it does n't shy away from the darker side of",pos
"still crazy has been compared to the spinal tap since both are comedies about wash-up r & r groups . actually , here the similarity ends because still crazy is much better written and acted out , whereas spinal tap script deteriorates from the mildly amusing first 10 min into",pos
"this is without a doubt the worst sequel i have ever seen , & i 've seen plenty of them to make that conclusion . the plot is simply ridiculous . i can catch a ball & run around a field , too . why ca n't i play in",neg
i watched this movie with no idea what it was about beforehand . i was intrigued for the first whole hour . it was shaping up to be a great thriller . a very talented cast and good dialogue.then it all fell apart for me at the sight of the,neg
"the animation was good , the imagery was good , although not totally original , however , the story was too long , way too confusing , and over the top dramatic . after about an hour i could n't wait to get it over with . with so many",neg
"an mtv-style film crew consisting of american t.v . programme producer zack zardine ( matt borlenghi ) his camerawoman , the australian cecily ( kate fisher ) and two surfer 'dudes ' named bog hall ( dax miller ) and jeremy ( joel west ) arrive on some nice looking",neg
"this is another of robert altman 's underrated films ( let 's be honest , the only movie he 's made that really did n't work was ready to wear ) , and sandy dennis gives a spellbinding performance in it.she is far better here than she was in ``",pos
"it´s a joke , right ? ! lynch could not get produced this as a tv show . he was out of money , so what to do ? well , he received somehow some dollars and `` completed '' the pilot and created this mess by just mixing everything",neg
"another pretentious film from vicente aranda . if `` juana la loca '' shinned of the same , at least its quality was superior ( mainly thanks to the great performance of pilar lópez de ayala ) , but `` carmen '' is boring and full of topics ( ardent",neg
"given how corny these movies are , you got ta figure that they must have had fun making them . the movie focuses on a house that strangely accommodates whomever lives there . the inhabitants were : author charles hillyer ( denholm elliott ( with hair ! ) ) ,",pos
my paraphrase above of the slogan on the back of the dvd box sums it up : this film was far more horrible than horrifying . this is the worst film i have seen in as long as i can remember . my wife accidentally rented it thinking it was,neg
"an absolutely brilliant show . the second season began where the first ended , with much mystery . suspense in most , if not all episodes and mystery everywhere . one that made me think and think again . it 's truly amazing how the writer can come out with",pos
"this was the first directing job by sebastian gutierrez , the writer of snakes on a plane and gothika . anyone who has read my reviews knows that i love capers , and this was a doozy . a kidnapping and a woman shot in the process . the fbi",pos
"hey , if your going to make a documentary about leonard cohen try making it about leonard cohen ! this is filled with only enough leonard to anger the viewer who will be left wondering why they are listening to all these other singers ( some of them questionable )",neg
i saw this movie on mystery science theater when it was called `` it lives by night '' . that title is much less misleading than `` batpeople '' . in fact it would more accurately be called batperson . this movie is about a doctor who studies bats i,neg
"adventures in dinosaur city , though a creative idea , was a nauseatingly atrocious attempt at filmmaking . being sucked into a tv and into a new world is interesting . three teens obsessively enthralled with half-animated dinosaurs is not . do n't waste the time or the brain power",neg
"being a fan of the first lion king , i was definitely looking forward to this movie , but i knew there was really no way it could be as good as the original . i know that many disney fans are wary of the direct-to-video movies , as i",pos
this is one of the most touching films i had ever watched . no movie has effected me the way this one did . this is a great film and you have to see for yourself . i 'm normally impregnable with these sob story movies but this one did,pos
"ivan reitman is something of a savior . the most tired plots ( ghostbusters , evolution ) come to life in his skilled hands . even his occasional flop ( six days , seven nights ) show signs of life and humor that make it worth viewing . so i",neg
the movie is a real show of how unemotional and selfish the upper society has become . it has plenty of characters and each and every character is representing a different category of person . no character is 100 % good and moral unlike the heroes of all the typical,pos
"`` they both believed that a hidden sentiment has unified them . this certitude is beautiful , but the incertitude is more beautiful . they believed that they had never been met.nothing has happened between them.but those roads , those stairs , those corridors for all that time they could",pos
"now , i like sci-fi cartoons . however , when `` robotboy '' appeared in canada in late 2006 , i watched the premiere and was inevitably appalled . the characters are generic and stereotypical ( do they really need to make an african-american man wear tiger-stripe print clothing and",neg
i was so excited when i discovered this was available ! i could n't wait to see it . what a waste of energy ! it 's kind of like that rarities cd by your favorite band you found in the back of the rack at your local music store,neg
society heiress susan fletcher ( hopkins ) and her wealthy father simon fletcher ( henry stephenson ) are vexed that their young nieces joan ( betty philson ) and katie ( marianna strelby ) are living a bohemian lifestyle in greenwich village with their artist uncle john ( milland ),pos
"i saw this in a preview screening and have to say that this documentary style movie is the biggest load of tripe i have ever seen . completely unfunny , low budget , boring , rubbish script , terrible acting - the entire audience ( young and old ) sat",neg
"we watched this movie in my chemistry class , so obviously it had educational value . i thought the film did a really good job of intertwining the subjects of the science , moral issues and personal experiences of the manhattan project , but was n't exactly focused on strong",pos
"father of the pride is a pleasant surprise : it is funny , witty and features some great voice acting . the show is about the family of a lion who is acting as the attraction of siegfried & roy shows . indeed all of them are stereotypes but that",pos
it 's really annoying when good movies like this one go unnoticed . but i 'm glad i did not miss it . they should re-release it with a lot more publicity . i do not think they did anything to promote it . great work paxton .,pos
"river queen 's sound recordist should have been fired , in this day and age there is no excuse for poor recording on the set . mumbling voices was the end result , and the cinematography was average to fair at best . the story had potential and i feel",neg
"i just watched this film 15 minutes ago , and i still have no idea what i just watched . mainly i think it 's a film about an internet s & m `` star '' of cd roms that are about as realistic as flash cartoons online . she",neg
widow hires a psychopath as a handyman . sloppy film noir thriller which does n't make much of its tension promising set-up . ( 3/10 ),neg
"this movie was poorly conceived , poorly written and poorly acted . all of the characters were two-dimensional . it was a real amateur attempt . the movie was fundamentalist christian propaganda . the christian characters are holier-than-thou and they are without a shred of compassion for the skeptic or",neg
"i probably saw this movie first in about 1995. since then i 've returned to it many times . it 's great ! i especially like the first and second clips , `` creation '' and `` civilization rising . '' wow ! this was so cool back in the",pos
"this film is an excellent teaching tool as a pre-study of `` to kill a mockingbird . '' in conjunction with a study of the novel itself , `` ... caged bird ... '' can be used as an independent literary study or as an introduction to tkm .",pos
"one of my desires is to be a film-maker , and i just have to say there 's no way i will be able to compete with the powerful drama the war at home . the reason is because the acting is perfect , and when you see the movie",pos
